t,seq,v_cmd,w_cmd,omega_meas_l,omega_meas_r,yaw,yaw_rate,wE_l,wE_r,e_psi_deg,r_err_dps,sigma_err,dw_yaw,lam,omega_ref_l,omega_ref_r,pwm_l,pwm_r,vbat,fault_flags
0.7144,25,0.025077480300024036,0.0,1.19413,-0.01688,0.16936,0.0,0.77161,0.77161,-9.70373,0.0,0.1296,-0.93049,0.99197,1.69591,-0.16507,0.06495195627212524,-0.046649958938360214,0.0,0
0.7245,26,0.026078487399990993,0.0,0.969,-0.00119,0.16936,0.0,0.80241,0.80241,-9.70373,0.0,0.10383,-0.93049,0.99462,1.72859,-0.1324,0.09650745987892151,-0.03027486242353916,0.0,0
0.7344,27,0.027077978000033906,0.0,0.969,-0.00119,0.16936,0.0,0.83317,0.83317,-9.70373,0.0,0.10383,-0.93049,0.99462,1.75918,-0.10181,0.09650745987892151,-0.03027486242353916,0.0,0
0.7444,28,0.028078155500043066,0.0,1.07561,-0.0631,0.16936,0.0,0.86394,0.86394,-9.70373,0.0,0.12186,-0.93049,0.99281,1.78823,-0.07276,0.09317523241043091,-0.027260243892669678,0.0,0
0.7544,29,0.02907748300003732,0.0,1.07561,-0.0631,0.16936,0.0,0.89469,0.89469,-9.70373,0.0,0.12186,-0.93049,0.99281,1.81875,-0.04223,0.09317523241043091,-0.027260243892669678,0.0,0
0.7644,30,0.030077471700042224,0.0,1.26149,-0.00443,0.16936,0.0,0.92546,0.92546,-9.70373,0.0,0.13548,-0.93049,0.99129,1.84789,-0.01309,0.08509045839309692,-0.03097858652472496,0.0,0
0.7744,31,0.03107770850001543,0.0,1.26149,-0.00443,0.16936,0.0,0.95624,0.95624,-9.70373,0.0,0.13548,-0.93049,0.99129,1.8784,0.01742,0.08509045839309692,-0.03097858652472496,0.0,0
0.7844,32,0.032077517500056274,0.0,1.49866,-0.06333,0.16936,0.0,0.987,0.987,-9.70373,0.0,0.16716,-0.93049,0.9874,1.90506,0.04407,0.07454709708690643,-0.028108689934015274,0.0,0
0.7944,33,0.03307765610006754,0.0,1.49866,-0.06333,0.16936,0.0,1.01777,1.01777,-9.70373,0.0,0.16716,-0.93049,0.9874,1.93544,0.07446,0.07454709708690643,-0.028108689934015274,0.0,0
0.8044,34,0.03407766150003226,0.0,1.51532,-0.00445,0.16936,0.0,1.04854,1.04854,-9.70373,0.0,0.16264,-0.93049,0.98798,1.96644,0.10545,0.09383811056613922,-0.012573846615850925,0.0,0
0.8146,35,0.035081076000005845,0.0,1.51532,-0.00445,0.16936,0.0,1.07942,1.07942,-9.70373,0.0,0.16264,-0.93049,0.98798,1.99694,0.13596,0.09383811056613922,-0.012573846615850925,0.0,0
0.8245,36,0.036078475800059094,0.0,1.57588,-0.2381,0.16936,0.0,1.11011,1.11011,-9.70373,0.0,0.19413,-0.93049,0.98369,2.02249,0.16151,0.09273627400398254,-0.0003510052338242531,0.0,0
0.8345,37,0.03707993660000284,0.0,1.57588,-0.2381,0.16936,0.0,1.14092,1.14092,-9.70373,0.0,0.19413,-0.93049,0.98369,2.0528,0.19182,0.09273627400398254,-0.0003510052338242531,0.0,0
0.8446,38,0.03807849380000334,0.0,1.64316,-0.01672,0.16936,0.0,1.17165,1.17165,-9.70373,0.0,0.17764,-0.93049,0.98602,2.08575,0.22477,0.09036081284284592,-0.01089402288198471,0.0,0
0.8546,39,0.03908082320003813,0.0,1.64316,-0.01672,0.16936,0.0,1.20249,1.20249,-9.70373,0.0,0.17764,-0.93049,0.98602,2.11616,0.25518,0.09036081284284592,-0.01089402288198471,0.0,0
0.8647,40,0.040101202400001056,0.0,1.64788,-0.00117,0.16936,0.0,1.23388,1.23388,-9.70373,0.0,0.17648,-0.93049,0.98618,2.14732,0.28634,0.09098390489816666,-0.01156977191567421,0.0,0
0.8745,41,0.041078928300066764,0.0,1.64788,-0.00117,0.16936,0.0,1.26397,1.26397,-9.70373,0.0,0.17648,-0.93049,0.98618,2.17699,0.31601,0.09098390489816666,-0.01156977191567421,0.0,0
0.8844,42,0.04207770769999115,0.0,1.64788,-0.00117,0.16936,0.0,1.2947,1.2947,-9.70373,0.0,0.17648,-0.93049,0.98618,2.2073,0.34631,0.09098390489816666,-0.01156977191567421,0.0,0
0.8945,43,0.04307850370005326,0.0,1.88603,-1e-05,0.16936,0.0,1.32549,1.32549,-9.70372,0.0,0.20184,-0.93049,0.98258,2.23289,0.37191,0.10004894435405731,0.008247796446084976,0.0,0
0.9045,44,0.044079440499990595,0.0,1.88603,-1e-05,0.16936,0.0,1.35629,1.35629,-9.70372,0.0,0.20184,-0.93049,0.98258,2.26315,0.40217,0.10004894435405731,0.008247796446084976,0.0,0
0.9144,45,0.04507780140002069,0.0,1.83988,-0.0,0.16936,0.0,1.38701,1.38701,-9.70372,0.0,0.1969,-0.93049,0.9833,2.29433,0.43335,0.10406201332807541,0.0092682596296072,0.0,0
0.9245,46,0.04607802340005946,0.0,1.83988,-0.0,0.16936,0.0,1.41779,1.41779,-9.70372,0.0,0.1969,-0.93049,0.9833,2.32459,0.46361,0.10406201332807541,0.0092682596296072,0.0,0
0.9344,47,0.04707773800000723,0.0,1.96251,-0.0,0.16936,0.0,1.44855,1.44855,-9.70372,0.0,0.21002,-0.93049,0.98133,2.35199,0.49101,0.09807977080345154,0.010288961231708527,0.0,0
0.9445,48,0.04807863590003762,0.0,1.96251,-0.0,0.16936,0.0,1.47934,1.47934,-9.70372,0.0,0.21002,-0.93049,0.98133,2.38222,0.52123,0.09807977080345154,0.010288961231708527,0.0,0
0.9544,49,0.04907754300002125,0.0,1.90811,-0.0,0.16936,0.0,1.51008,1.51008,-9.70372,0.0,0.2042,-0.93049,0.98222,2.41372,0.55273,0.12016735225915909,0.029940403997898102,0.0,0
0.9645,50,0.05007977430004758,0.0,1.90811,-0.0,0.16936,0.0,1.54092,1.54092,-9.70372,0.0,0.2042,-0.93049,0.98222,2.44401,0.58302,0.12016735225915909,0.029940403997898102,0.0,0
0.9745,51,0.051080362900029284,0.0,1.90428,-0.0,0.16936,0.0,1.5717,1.5717,-9.70372,0.0,0.20379,-0.93049,0.98228,2.47434,0.61336,0.12214255332946777,0.03190445154905319,0.0,0
0.9845,52,0.05207976080000662,0.0,1.90428,-0.0,0.16936,0.0,1.60245,1.60245,-9.70372,0.0,0.20379,-0.93049,0.98228,2.50455,0.64357,0.12214255332946777,0.03190445154905319,0.0,0
0.9948,53,0.05308443460007766,0.0,2.02643,-0.0,0.16936,0.0,1.63337,1.63337,-9.70372,0.0,0.21686,-0.93049,0.98029,2.53166,0.67068,0.11712691187858582,0.03386849910020828,0.0,0
1.0045,54,0.05407942700003332,0.0,2.02643,-0.0,0.16936,0.0,1.66398,1.66398,-9.70372,0.0,0.21686,-0.93049,0.98029,2.56168,0.70069,0.11712691187858582,0.03386849910020828,0.0,0
1.0153,55,0.055146031799995394,0.0,2.49691,-0.0,0.16936,0.0,1.6968,1.6968,-9.70372,0.0,0.26721,-0.93049,0.97779,2.58961,0.72862,0.09446046501398087,0.03583254665136337,0.0,0
1.0245,56,0.056078815399996526,0.0,2.49691,-0.0,0.16936,0.0,1.7255,1.7255,-9.70372,0.0,0.26721,-0.93049,0.97779,2.61767,0.75669,0.09446046501398087,0.03583254665136337,0.0,0
1.0345,57,0.057079733699993085,0.0,2.40754,-0.0,0.16936,0.0,1.7563,1.7563,-9.70372,0.0,0.25765,-0.93049,0.97624,2.64506,0.78408,0.11835607886314392,0.05656791478395462,0.0,0
1.0445,58,0.05807848530002957,0.0,2.40754,-0.0,0.16936,0.0,1.78703,1.78703,-9.70372,0.0,0.25765,-0.93049,0.97624,2.67506,0.81408,0.11835607886314392,0.05656791478395462,0.0,0
1.0545,59,0.059079849899990225,0.0,2.17716,0.23779,0.16936,0.0,1.81784,1.81784,-9.70372,0.0,0.20755,-0.93049,0.98171,2.71508,0.8541,0.1311911642551422,0.047130972146987915,0.0,0
1.0645,60,0.06007854220006265,0.0,2.17716,0.23779,0.16936,0.0,1.84857,1.84857,-9.70372,0.0,0.20755,-0.93049,0.98171,2.74525,0.88427,0.1311911642551422,0.047130972146987915,0.0,0
1.0745,61,0.06107954570006768,0.0,2.22399,0.0167,0.16936,0.0,1.87937,1.87937,-9.70372,0.0,0.23622,-0.93049,0.97723,2.76707,0.90609,0.1297842413187027,0.06064422428607941,0.0,0
1.0844,62,0.062077852900074504,0.0,2.22399,0.0167,0.16936,0.0,1.91009,1.91009,-9.70372,0.0,0.23622,-0.93049,0.97723,2.79709,0.93611,0.1297842413187027,0.06064422428607941,0.0,0
1.0945,63,0.06307938230002037,0.0,2.11191,0.58549,0.16936,0.0,1.9409,1.9409,-9.70372,0.0,0.16335,-0.93049,0.98789,2.84789,0.98691,0.13599590957164764,0.0343874953687191,0.0,0
1.1045,64,0.06407845789999556,0.0,2.11191,0.58549,0.16936,0.0,1.97164,1.97164,-9.70372,0.0,0.16335,-0.93049,0.98789,2.87826,1.01728,0.13599590957164764,0.0343874953687191,0.0,0
1.1144,65,0.0650779909999983,0.0,2.56594,0.50303,0.16936,0.0,2.0024,2.0024,-9.70372,0.0,0.22077,-0.93049,0.9797,2.89223,1.03125,0.13452138006687164,0.06070809066295624,0.0,0
1.1244,66,0.06607794640003703,0.0,2.56594,0.50303,0.16936,0.0,2.03317,2.03317,-9.70372,0.0,0.22077,-0.93049,0.9797,2.92238,1.06139,0.13452138006687164,0.06070809066295624,0.0,0
1.1344,67,0.06707874610001453,0.0,2.7132,0.33614,0.16936,0.0,2.06396,2.06396,-9.70355,0.0,0.25439,-0.93048,0.97571,2.94431,1.08335,0.12838125228881836,0.07075199484825134,0.0,0
1.1444,68,0.06807756440002777,0.0,2.7132,0.33614,0.16936,0.0,2.09469,2.09469,-9.70355,0.0,0.25439,-0.93048,0.97571,2.97429,1.11334,0.12838125228881836,0.07075199484825134,0.0,0
1.1543,69,0.06907736789999035,0.0,2.32104,0.67095,0.16936,0.0,2.12546,2.12546,-9.70355,0.0,0.17659,-0.93048,0.98616,3.02653,1.16557,0.14905279874801636,0.05579335242509842,0.0,0
1.1644,70,0.07007743610001853,0.0,2.32104,0.67095,0.16936,0.0,2.15623,2.15623,-9.70355,0.0,0.17659,-0.93048,0.98616,3.05687,1.19592,0.14905279874801636,0.05579335242509842,0.0,0
1.1745,71,0.07107936370002789,0.0,2.81842,0.80984,0.16936,0.0,2.18706,2.18706,-9.70355,0.0,0.21495,-0.93048,0.98058,3.07506,1.21411,0.1251765787601471,0.050226714462041855,0.0,0
1.1844,72,0.07207775599999877,0.0,2.81842,0.80984,0.16936,0.0,2.21778,2.21778,-9.70355,0.0,0.21495,-0.93048,0.98058,3.10519,1.24423,0.1251765787601471,0.050226714462041855,0.0,0
