probot_pi monitor: link=/dev/serial0@921600
monitor: IDLE heartbeats + telemetry listen (Ctrl-C to stop)

[OK      50Hz age=  5.9ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=120 rx=297 bad=0 drop=0 flt=none
[OK      50Hz age=  1.7ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=124 rx=307 bad=0 drop=0 flt=none
[OK      50Hz age= 15.6ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=128 rx=317 bad=0 drop=0 flt=none
[OK      50Hz age=  5.9ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=132 rx=327 bad=0 drop=0 flt=none
[OK      50Hz age=  1.2ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=136 rx=337 bad=0 drop=0 flt=none
[OK      50Hz age= 17.4ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=140 rx=347 bad=0 drop=0 flt=none
[OK      50Hz age= 14.7ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=144 rx=357 bad=0 drop=0 flt=none
[OK      50Hz age= 12.1ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=148 rx=367 bad=0 drop=0 flt=none
[OK      50Hz age=  9.0ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=152 rx=377 bad=0 drop=0 flt=none
[OK      50Hz age=  6.6ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=156 rx=387 bad=0 drop=0 flt=none
[OK      50Hz age=  4.1ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=160 rx=397 bad=0 drop=0 flt=none
[OK      50Hz age=  2.0ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=164 rx=407 bad=0 drop=0 flt=none
[OK      45Hz age= 20.1ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=168 rx=416 bad=0 drop=0 flt=none
[OK      50Hz age= 17.7ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=172 rx=426 bad=0 drop=0 flt=none
[OK      55Hz age= 15.4ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=176 rx=437 bad=0 drop=0 flt=none
[OK      50Hz age= 12.8ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=180 rx=447 bad=0 drop=0 flt=none
[OK      50Hz age= 10.5ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=184 rx=457 bad=0 drop=0 flt=none
[OK      50Hz age=  8.1ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=188 rx=467 bad=0 drop=0 flt=none
[OK      50Hz age=  4.9ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=192 rx=477 bad=0 drop=0 flt=none
[OK      50Hz age=  1.4ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=196 rx=487 bad=0 drop=0 flt=none
[OK      45Hz age= 18.1ms] wL= +0.00 wR= +0.00 | yaw=   -4.6 yr=   +0.0deg/s | duty=+0.00/+0.00 vbat= 0.0V | tx=200 rx=496 bad=0 drop=0 flt=none
